name,gitUrl,commitID,repoName,clone,pomExist,hasHierarchicalPom,lastCommitDate
Vatavuk:excel-io,https://github.com/Vatavuk/excel-io.git,4d1f3a3c55d2f2356bc597719b58757807247b83,excel-io,true,true,false,2018-03-27 18:23:22 +0200
eBay:cors-filter,https://github.com/eBay/cors-filter.git,f782f4cd0a67a3c814a92b0907674fd93aa96dbe,cors-filter,true,true,false,2016-12-28 19:14:56 -0800
martin-lizner:trezor-ssh-agent,https://github.com/martin-lizner/trezor-ssh-agent.git,facdd7aac735cc77c475720dd774e1e7b71f36b2,trezor-ssh-agent,true,true,false,2016-12-23 10:59:46 +0100
jbaliuka:x4j-analytic,https://github.com/jbaliuka/x4j-analytic.git,a51829224a489093f0c3c08000ab38d7da9eb550,x4j-analytic,true,true,true,
spotify:semantic-metrics,https://github.com/spotify/semantic-metrics.git,a58f4bf489d67752b6d8af2335754f8512c28aaf,semantic-metrics,true,true,true,
wouterd:docker-maven-plugin,https://github.com/wouterd/docker-maven-plugin.git,ea15f9e6c273989bb91f4228fb52cb73d00e07b3,docker-maven-plugin,true,true,true,
getheimdall:heimdall,https://github.com/getheimdall/heimdall.git,7b3a19d1dd441452eb73245576ea5f0d7f7f5a78,heimdall,true,true,true,
geosolutions-it:jai-ext,https://github.com/geosolutions-it/jai-ext.git,87cb34fdbbe6a7b68aea3996cab56a177c8a894c,jai-ext,true,true,true,
aditzel:spring-security-csrf-filter,https://github.com/aditzel/spring-security-csrf-filter.git,341a2104301c980db7d8075f589044b48830c29b,spring-security-csrf-filter,true,true,false,2014-06-01 11:44:11 -0500
mybatis:spring-boot-starter,https://github.com/mybatis/spring-boot-starter.git,bd9629c22aee3d5887982a5b3dc6351f44462d0c,spring-boot-starter,true,true,true,
xuminwlt:j360-tools,https://github.com/xuminwlt/j360-tools.git,2e031c7f26fb0f2377d73b0caee08447e2a71499,j360-tools,true,true,false,2020-01-11 11:40:02 +0800
difi:oxalis,https://github.com/difi/oxalis.git,7cf1cc269961b271e89b782c54d2dfceb7340b75,oxalis,true,true,true,
hotchemi:LruCache,https://github.com/hotchemi/LruCache.git,410539213c44b8794ca4111f678714a1c2395749,LruCache,true,true,false,2015-01-16 17:50:56 +0900
yrucrew:ssm-demo,https://github.com/yrucrew/ssm-demo.git,8a0469791663b95ce0ffc77544ea86cf860a8c75,ssm-demo,true,true,false,2023-02-11 12:52:53 +0800
atteo:xml-combiner,https://github.com/atteo/xml-combiner.git,f57893f375dd50b7214c6c91e00fee6427bc2ae1,xml-combiner,true,true,false,2021-05-08 00:58:16 +0200
americanexpress:nodes,https://github.com/americanexpress/nodes.git,9bc0d442e67248d0899429ae8548340c055ee50f,nodes,true,true,true,
petterobam:database-oop,https://github.com/petterobam/database-oop.git,d7854b84d08d7c0f3b07a43398f418035628e6a2,database-oop,true,true,true,
casbin:jcasbin,https://github.com/casbin/jcasbin.git,536d194a72f2643fd4808177f1714f968daf2249,jcasbin,true,true,false,2024-03-27 23:41:15 +0800
zeroturnaround:maven-jrebel-plugin,https://github.com/zeroturnaround/maven-jrebel-plugin.git,832d2662f3a4033dbe6b32e1663aa6b3fc56c501,maven-jrebel-plugin,true,true,false,2023-06-19 07:39:25 +0000
smooks:smooks,https://github.com/smooks/smooks.git,15162b4d7ebb81a2120ef591b6164266933fa75c,smooks,true,true,true,
phiz71:vertx-swagger,https://github.com/phiz71/vertx-swagger.git,8f3d72a8ad41796a9e434926ca3cccca72eb5990,vertx-swagger,true,true,true,
