name,gitUrl,commitID,repoName
Vatavuk:excel-io,https://github.com/Vatavuk/excel-io.git,4d1f3a3,excel-io
eBay:cors-filter,https://github.com/eBay/cors-filter.git,f782f4c,cors-filter
martin-lizner:trezor-ssh-agent,https://github.com/martin-lizner/trezor-ssh-agent.git,facdd7a,trezor-ssh-agent
jbaliuka:x4j-analytic,https://github.com/jbaliuka/x4j-analytic.git,a518292,x4j-analytic
spotify:semantic-metrics,https://github.com/spotify/semantic-metrics.git,6facc51,semantic-metrics
wouterd:docker-maven-plugin,https://github.com/wouterd/docker-maven-plugin.git,ea15f9e,docker-maven-plugin
getheimdall:heimdall,https://github.com/getheimdall/heimdall.git,22832105,heimdall
geosolutions-it:jai-ext,https://github.com/geosolutions-it/jai-ext.git,5b9c28c6,jai-ext
aditzel:spring-security-csrf-filter,https://github.com/aditzel/spring-security-csrf-filter.git,341a210,spring-security-csrf-filter
mybatis:spring-boot-starter,https://github.com/mybatis/spring-boot-starter.git,a1696f5,spring-boot-starter
xuminwlt:j360-tools,https://github.com/xuminwlt/j360-tools.git,2c9a71d,j360-tools
difi:oxalis,https://github.com/difi/oxalis.git,4331b1a6,oxalis
hotchemi:LruCache,https://github.com/hotchemi/LruCache.git,4105392,LruCache
yrucrew:ssm-demo,https://github.com/yrucrew/ssm-demo.git,aa178c3,ssm-demo
atteo:xml-combiner,https://github.com/atteo/xml-combiner.git,b9f92b6,xml-combiner
americanexpress:nodes,https://github.com/americanexpress/nodes.git,9bc0d44,nodes
petterobam:database-oop,https://github.com/petterobam/database-oop.git,14fdfd9,database-oop
casbin:jcasbin,https://github.com/casbin/jcasbin.git,2090f14,jcasbin
zeroturnaround:maven-jrebel-plugin,https://github.com/zeroturnaround/maven-jrebel-plugin.git,f0952d8,maven-jrebel-plugin
smooks:smooks,https://github.com/smooks/smooks.git,7a6d7a6,smooks
phiz71:vertx-swagger,https://github.com/phiz71/vertx-swagger.git,11437ef,vertx-swagger
zalando:problem-spring-web,https://github.com/zalando/problem-spring-web.git,8cf7a54,problem-spring-web
RankSys:RankSys,https://github.com/RankSys/RankSys.git,b17d20c,RankSys
FasterXML:jackson-dataformat-xml,https://github.com/FasterXML/jackson-dataformat-xml.git,583a3bd,jackson-dataformat-xml
toolbox4minecraft:amidst,https://github.com/toolbox4minecraft/amidst.git,7bfc49e4,amidst
ashwanthkumar:slack-java-webhook,https://github.com/ashwanthkumar/slack-java-webhook.git,92f4611,slack-java-webhook
