release1,release2,value
org.springframework:spring-oxm:6.1.0,org.springframework:spring-oxm:6.1.5,0.0
org.springframework:spring-oxm:6.1.0,org.springframework:spring-oxm:5.3.4,4.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:5.2.0.RELEASE,21.0
org.springframework:spring-oxm:6.1.0,org.springframework:spring-oxm:5.3.22,4.0
org.springframework:spring-oxm:6.1.0,org.springframework:spring-oxm:5.3.9,4.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:5.3.29,12.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:5.3.9,21.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:5.3.22,19.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:5.3.20,19.0
org.jetbrains.kotlinx:kotlinx-coroutines-reactor:1.7.3,org.jetbrains.kotlinx:kotlinx-coroutines-reactor:1.6.4,1.0
org.jetbrains.kotlinx:kotlinx-coroutines-reactor:1.7.3,org.jetbrains.kotlinx:kotlinx-coroutines-reactor:1.5.2,1.0
org.jetbrains.kotlinx:kotlinx-coroutines-reactor:1.7.3,org.jetbrains.kotlinx:kotlinx-coroutines-reactor:1.4.3,5.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.9.6,355.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.6.3,527.0
org.jetbrains.kotlinx:kotlinx-coroutines-reactor:1.7.3,org.jetbrains.kotlinx:kotlinx-coroutines-reactor:1.4.2,5.0
org.jetbrains.kotlinx:kotlinx-coroutines-reactor:1.7.3,org.jetbrains.kotlinx:kotlinx-coroutines-reactor:1.4.0,5.0
org.springframework.hateoas:spring-hateoas:2.2.0,org.springframework.hateoas:spring-hateoas:1.3.7,83.0
org.springframework.hateoas:spring-hateoas:2.2.0,org.springframework.hateoas:spring-hateoas:1.5.5,46.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.1.4,7.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.18,4.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.5,17.0
org.springframework.hateoas:spring-hateoas:2.2.0,org.springframework.hateoas:spring-hateoas:1.2.4,129.0
org.springframework.hateoas:spring-hateoas:2.2.0,org.springframework.hateoas:spring-hateoas:1.3.3,85.0
org.springframework.hateoas:spring-hateoas:2.2.0,org.springframework.hateoas:spring-hateoas:2.2.1,0.0
org.springframework.hateoas:spring-hateoas:2.2.0,org.springframework.hateoas:spring-hateoas:2.1.1,10.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.17,4.0
org.springframework.hateoas:spring-hateoas:2.2.0,org.springframework.hateoas:spring-hateoas:1.4.4,48.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.2,17.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:5.3.15,20.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:5.3.18,19.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:5.3.17,19.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.0,17.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.1.2,3.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.1.1,3.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.1.3,4.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.1.5,7.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.16,4.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.15,4.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:5.3.4,21.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.11,6.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:5.3.31,12.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.14,4.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.13,4.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.10,6.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:5.3.30,12.0
org.springframework:spring-expression:6.1.0,org.springframework:spring-expression:6.0.12,6.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.1.4,45.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.43.Final,43.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:3.1.6,0.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.0.13,2.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.5.Final,82.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:2.7.15,0.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.1.5,47.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.92.Final,2.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:2.7.16,0.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.0.5,7.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.108.Final,5.0
org.springframework.boot:spring-boot-starter-web:3.2.4,org.springframework.boot:spring-boot-starter-web:2.7.14,0.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:5.3.4,116.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.79.Final,5.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.0.12,2.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.104.Final,4.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:5.2.0.RELEASE,131.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.97.Final,3.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:5.3.29,89.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.87.Final,1.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.51.Final,20.0
org.codehaus.woodstox:stax2-api:4.1,org.codehaus.woodstox:stax2-api:4.2,2.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.108.Final,7.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:5.3.20,90.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.87.Final,4.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.97.Final,4.0
org.springframework.data:spring-data-rest-webmvc:4.2.4,org.springframework.data:spring-data-rest-webmvc:4.2.3,0.0
org.springframework.data:spring-data-rest-webmvc:4.2.4,org.springframework.data:spring-data-rest-webmvc:4.1.2,2.0
org.springframework.data:spring-data-rest-webmvc:4.2.4,org.springframework.data:spring-data-rest-webmvc:4.2.0,1.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.84.Final,4.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.5.Final,39.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.101.Final,4.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.107.Final,6.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.94.Final,2.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.39.Final,24.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.101.Final,3.0
io.netty:netty-transport-native-unix-common:4.1.84.Final,io.netty:netty-transport-native-unix-common:4.1.107.Final,3.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.1.3,42.0
org.springframework:spring-expression:6.0.15,org.springframework:spring-expression:6.1.4,10.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.51.Final,35.0
org.codehaus.woodstox:stax2-api:4.1,org.codehaus.woodstox:stax2-api:4.0.0,0.0
org.springframework:spring-expression:6.0.15,org.springframework:spring-expression:6.0.18,0.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.95.Final,3.0
org.codehaus.woodstox:stax2-api:4.1,org.codehaus.woodstox:stax2-api:3.1.4,11.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:5.3.9,99.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.90.Final,2.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.15.4,2.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.0.0,9.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.106.Final,4.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.16.2,67.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.0.2,9.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.1.0,32.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.0.11,3.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.93.Final,2.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.1.1,33.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.100.Final,3.0
org.codehaus.woodstox:stax2-api:4.1,org.codehaus.woodstox:stax2-api:4.2.1,2.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.89.Final,0.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.0.10,4.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.14.3,56.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.79.Final,7.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.1.2,39.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.5.Final,75.0
io.netty:netty-buffer:4.1.90.Final,io.netty:netty-buffer:4.1.106.Final,9.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.12.6,199.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.92.Final,1.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.13.5,118.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.15.2,0.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.104.Final,4.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.106.Final,4.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.100.Final,4.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.93.Final,1.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.17.Final,30.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.43.Final,24.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.39.Final,45.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.89.Final,1.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.99.Final,3.0
org.springframework:spring-beans:6.0.16,org.springframework:spring-beans:5.2.0.RELEASE,94.0
org.jboss.logging:jboss-logging:3.3.2.Final,org.jboss.logging:jboss-logging:3.4.1.Final,13.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.15.1,0.0
org.springframework:spring-beans:6.0.16,org.springframework:spring-beans:5.3.29,82.0
org.jboss.logging:jboss-logging:3.3.2.Final,org.jboss.logging:jboss-logging:3.4.3.Final,13.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.14.2,56.0
org.springframework:spring-beans:6.0.16,org.springframework:spring-beans:6.0.13,0.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.12.4,200.0
org.springframework:spring-beans:6.0.16,org.springframework:spring-beans:6.0.12,0.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.107.Final,4.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.12.6.1,200.0
org.springframework:spring-beans:6.0.16,org.springframework:spring-beans:6.0.11,4.0
org.springframework:spring-beans:6.0.16,org.springframework:spring-beans:6.0.10,6.0
org.codehaus.plexus:plexus-utils:1.5.6,org.codehaus.plexus:plexus-utils:1.4.2,55.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.13.4,118.0
org.codehaus.plexus:plexus-utils:1.5.6,org.codehaus.plexus:plexus-utils:3.0.8,55.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.16.0,63.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.13.3,118.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.6.7.1,527.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.10.5,308.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.14.1,57.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:5.3.30,89.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.17.Final,65.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.101.Final,4.0
org.springframework:spring-beans:6.0.16,org.springframework:spring-beans:5.3.22,83.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.75.Final,11.0
org.springframework:spring-beans:6.0.16,org.springframework:spring-beans:5.3.20,83.0
io.netty:netty-transport:4.1.84.Final,io.netty:netty-transport:4.1.94.Final,2.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.0.17,1.0
net.bytebuddy:byte-buddy:1.12.9,net.bytebuddy:byte-buddy:1.12.18,69.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.11.3,275.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.0.14,2.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.11.2,277.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.0.18,3.0
net.bytebuddy:byte-buddy-agent:1.12.9,net.bytebuddy:byte-buddy-agent:1.14.9,4.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.10.2,308.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:6.0.16,0.0
net.bytebuddy:byte-buddy-agent:1.12.9,net.bytebuddy:byte-buddy-agent:1.14.4,4.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.10.1,309.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:5.3.18,90.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:5.3.17,91.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.11.4,275.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:5.3.31,89.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.12.3,200.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:5.3.15,91.0
net.bytebuddy:byte-buddy:1.12.9,net.bytebuddy:byte-buddy:1.12.16,55.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.13.1,119.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.75.Final,7.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.99.Final,4.0
io.netty:netty-codec:4.1.90.Final,io.netty:netty-codec:4.1.95.Final,3.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.13.2.1,119.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.9.9,355.0
com.fasterxml.jackson.core:jackson-databind:2.15.3,com.fasterxml.jackson.core:jackson-databind:2.10.5.1,308.0
org.codehaus.plexus:plexus-utils:1.5.6,org.codehaus.plexus:plexus-utils:1.4.1,57.0
net.bytebuddy:byte-buddy-agent:1.12.9,net.bytebuddy:byte-buddy-agent:1.12.16,3.0
org.codehaus.plexus:plexus-utils:1.5.6,org.codehaus.plexus:plexus-utils:1.5.15,37.0
org.springframework:spring-context:6.0.15,org.springframework:spring-context:5.3.22,90.0
org.codehaus.plexus:plexus-utils:1.5.6,org.codehaus.plexus:plexus-utils:1.0.4,71.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.108.Final,12.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.75.Final,10.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.89.Final,8.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.99.Final,11.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.100.Final,12.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.39.Final,101.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.94.Final,0.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.92.Final,10.0
io.netty:netty-resolver:4.1.90.Final,io.netty:netty-resolver:4.1.84.Final,0.0
io.netty:netty-common:4.1.84.Final,io.netty:netty-common:4.1.79.Final,3.0
